"Contrast","Total_genes_tested","Significant_DEGs","Upregulated","Downregulated"
"InfluenzaA_Day4_vs_NonInfected_Day0",29722,21,19,2
"InfluenzaA_Day8_vs_NonInfected_Day0",29722,291,174,117
