"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000031425",66987.9206442117,-1.69035346887472,0.0859838045761757,-19.6589750500885,4.84414953667531e-86,7.6983224436844e-82
"ENSMUSG00000032854",3525.50478262196,-2.15726994851647,0.110374401949444,-19.5450204976384,4.54808854276689e-85,3.61391115608257e-81
"ENSMUSG00000045193",2183.32981517547,1.61045263119726,0.11987644978452,13.4342703182491,3.80803375046275e-41,2.01724241207847e-37
"ENSMUSG00000022548",10149.9383541694,1.32542008093982,0.10276443712561,12.8976532934224,4.64013237637274e-38,1.84352459313289e-34
"ENSMUSG00000004110",8646.38763416641,-1.1469763005739,0.0964417760520847,-11.8929404613459,1.28791033160324e-32,4.09349419796775e-29
"ENSMUSG00000050211",458.159250542765,1.86876786368017,0.160040643178436,11.676833000456,1.67417578158257e-31,4.43433358681838e-28
"ENSMUSG00000052229",802.787816858857,-1.75848008994632,0.153555643558905,-11.4517451080966,2.30458628772639e-30,5.23206932636398e-27
"ENSMUSG00000055945",1597.08072425688,-1.25417794206509,0.112962527416907,-11.102601639182,1.2184457704e-28,2.42044252289961e-25
"ENSMUSG00000006522",3773.31147494324,1.0476066248398,0.0962722187191231,10.8817126973693,1.4089053746558e-27,2.48781380155889e-24
"ENSMUSG00000021186",731.593627424398,1.63130414731475,0.153132597381132,10.6528862907915,1.69041048916709e-26,2.68640034938434e-23
"ENSMUSG00000092274",4438.6213193044,1.2388277778299,0.117955787539369,10.5024755772702,8.41439781260601e-26,1.21565100034486e-22
"ENSMUSG00000050063",482.927826184833,-1.67079062895066,0.161313043217168,-10.357442867787,3.87174526185527e-25,5.12748130845033e-22
"ENSMUSG00000020538",2302.89563856489,1.00172797454534,0.0972683261248408,10.2986040210012,7.14911991239184e-25,8.73952412674855e-22
"ENSMUSG00000045136",2599.66346102158,-1.0133896853665,0.0986652522048602,-10.2709886481857,9.52237498770786e-25,1.08092559503324e-21
"ENSMUSG00000028364",478.910462443018,-1.61432955284406,0.157691755759975,-10.2372476294909,1.35022908814652e-24,1.43052271125496e-21
"ENSMUSG00000005397",1010.34099084147,-1.29223299843053,0.127716782496105,-10.1179576651951,4.5991200079807e-24,4.56807594792683e-21
"ENSMUSG00000029657",5366.50412257719,-1.03626494960373,0.104217552789815,-9.94328615347226,2.69777644136479e-23,2.38183684478718e-20
"ENSMUSG00000038173",589.304128158885,-1.52194635298005,0.156216655544183,-9.74253576021277,1.98537197072068e-22,1.57757656793465e-19
"ENSMUSG00000115529",151.407719210884,-2.64754170617448,0.273961916281841,-9.66390417363997,4.2918845074329e-22,3.24793469486303e-19
"ENSMUSG00000026830",3600.90440073089,-1.08127920684833,0.112628218816151,-9.60042889973571,7.96124438112826e-22,5.50087372629958e-19
"ENSMUSG00000033880",963.585546018954,1.68298061394193,0.176218600987728,9.55052760893913,1.29037437968662e-21,8.54442901749157e-19
"ENSMUSG00000036634",5566.41607746789,-1.00401585716281,0.106119888576588,-9.46114692193819,3.04583773629948e-21,1.93617813221085e-18
"ENSMUSG00000110125",113.844587953449,3.05084201644198,0.328791374247516,9.27896001963025,1.71140789073976e-20,1.04606516152447e-17
"ENSMUSG00000085873",367.043830359766,1.58203665962807,0.172380103522554,9.17760592608693,4.40781773033128e-20,2.59440886557129e-17
"ENSMUSG00000050503",187.064150083444,-2.76448198658008,0.306617475972155,-9.01606138989655,1.94973173749584e-19,1.06845299214772e-16
"ENSMUSG00000116305",1219.3691789392,1.07895111564469,0.120519291466092,8.95251791243936,3.47464485763699e-19,1.72559550242397e-16
"ENSMUSG00000043872",757.338292247763,-1.36940557118137,0.153478749443918,-8.9224441568815,4.56108888630683e-19,2.13190660532906e-16
"ENSMUSG00000043448",426.58364253326,-1.53995198209562,0.17649276098446,-8.72529827005889,2.65479959735164e-18,1.08179680002852e-15
"ENSMUSG00000076439",821.82309892349,-1.24188754886594,0.142588866479579,-8.70956884311719,3.05032803072293e-18,1.21189532660622e-15
