"","SRR5364316","SRR5364317","SRR5364318","SRR5364321","SRR5364323","SRR5364330"
"ENSMUSG00000000001",2287.90438193542,2173.6783960974,2125.31415656704,1842.7617052067,1922.08555242368,1920.90429893136
"ENSMUSG00000000028",96.3750858559898,108.68391980487,101.982445132775,95.6343965313747,94.046999506969,97.3609028225483
"ENSMUSG00000000031",46.1797286393284,59.6696030301248,33.6542068938158,32.9064590215483,63.6776559161769,36.8392605274507
"ENSMUSG00000000037",31.12112147433,36.2279732682901,36.7136802477991,21.5948637328911,22.532093631878,21.9281312663397
"ENSMUSG00000000049",8.03125715466582,15.9829293830691,10.1982445132775,11.3115952886572,8.81690620377834,14.911129261111
"ENSMUSG00000000056",4214.40219191089,4293.01483229237,3746.83503417816,3970.36994631868,3690.36507440367,3707.60843451272
"ENSMUSG00000000058",941.664901384567,816.194927162064,1025.94339803572,673.554083097316,831.728151889757,785.027099334961
"ENSMUSG00000000078",1681.54446675816,1539.68886390233,1616.42175535449,1550.71688139046,1492.01646092827,1529.70643713986
"ENSMUSG00000000085",1608.25924522183,1628.12773982198,1462.428263204,1534.26365187969,1547.85686688553,1658.64384898593
"ENSMUSG00000000088",3457.45620508363,3431.00217423218,3284.85455772669,2850.52201274162,3350.42435743577,3265.53730818331
"ENSMUSG00000000093",34.1328429073297,47.9487881492074,52.0110470177154,63.7562643542498,48.982812243213,58.7673917937904
"ENSMUSG00000000094",8.03125715466582,11.7208148809174,6.11894670796652,9.25494159981045,3.91862497945704,6.13987675457512
"ENSMUSG00000000120",155.60560737165,124.666849187939,130.537529769952,229.316886306415,199.849873952309,226.298314668626
"ENSMUSG00000000125",558.172372249274,555.140413905268,574.161166097525,721.885444785215,571.139590755864,708.717202528099
"ENSMUSG00000000126",58.2266143713272,39.4245591449039,49.9713981150599,32.9064590215483,43.1048747740275,66.6615190496727
"ENSMUSG00000000127",1623.31785238683,1594.03082380476,1652.11561115096,1309.06007295097,1253.95999342625,1169.20795912123
"ENSMUSG00000000131",3354.05376921731,3497.06494901553,3445.98682103648,4003.27640534023,3443.49170069788,3673.40054973723
"ENSMUSG00000000134",1420.52860923152,1315.92785253936,1418.5758117969,1465.36575330332,1436.17605497101,1552.51169365685
"ENSMUSG00000000142",805.133529755248,728.821579867953,791.383774230336,870.992837226606,747.477714831431,820.112109361105
"ENSMUSG00000000148",669.606065270263,749.066623753174,693.480626902872,795.924977583699,735.721839893059,756.081966063393
"ENSMUSG00000000149",2655.33439676139,2842.83037293523,2593.41357972648,2109.09835791236,2474.61167452712,2172.63924586894
"ENSMUSG00000000154",19.0742357423313,15.9829293830691,19.3766645752273,30.8498053327015,24.4914061216065,39.4706362794115
"ENSMUSG00000000157",10.0390714433323,7.4587003787656,7.13877115929427,9.25494159981045,16.6541561626924,21.9281312663397
"ENSMUSG00000000159",8.03125715466582,10.6552862553794,25.4956112831938,13.368248977504,16.6541561626924,21.0510060156861
"ENSMUSG00000000167",71.2774072476591,44.7522022725936,61.1894670796652,60.6712838209796,57.7997184469914,75.4327715562086
"ENSMUSG00000000168",4804.69959277882,4474.15469863382,4571.87301530232,4514.35484701865,4628.87575698363,5012.77080748526
"ENSMUSG00000000171",3395.21396213497,3759.18499089786,3945.70080218708,2946.15640927299,3348.46504494604,3404.12309778658
"ENSMUSG00000000182",18.0703285979981,29.8348015150624,28.5550846371771,34.963112710395,33.3083123253849,43.8562625326794
"ENSMUSG00000000184",405.578486310624,412.359578083184,453.82188084085,200.52373466256,371.289716803555,313.133714483331
"ENSMUSG00000000194",2370.22476777075,2219.49612699554,2190.58292145201,2166.68466120007,2299.25320669642,2247.19489217449
"ENSMUSG00000000197",4096.9450560239,4019.17397552912,4418.89934760315,4101.99578240488,4384.94135201243,3692.69730525161
