"","SRR5364316","SRR5364317","SRR5364318","SRR5364321","SRR5364323","SRR5364330"
"ENSMUSG00000000001",11.5836048034948,11.5277824674238,11.503452329768,11.3520418241907,11.3962571067229,11.3956090085085
"ENSMUSG00000000028",9.39687618035609,9.43846963732847,9.41615284744333,9.39428607904873,9.38869930736737,9.40030723835022
"ENSMUSG00000000031",9.1882681528713,9.25272255097391,9.1190222421158,9.11450039365888,9.27038352580838,9.13773199121005
"ENSMUSG00000000037",9.10348745723197,9.13420716350342,9.13701031757661,9.03835336939779,9.045337469414,9.04085410068433
"ENSMUSG00000000049",8.91114272573935,8.99286633545978,8.93640636268186,8.94833254358617,8.9206578113907,8.98330142355735
"ENSMUSG00000000056",12.2928532029902,12.3154340886712,12.1505886524216,12.220381900384,12.1324004146913,12.1379790592669
"ENSMUSG00000000058",10.7101356866289,10.5892595311233,10.7853105714083,10.4358138322648,10.6048708737858,10.5573305109785
"ENSMUSG00000000078",11.2575217209449,11.1685498062796,11.2174003497879,11.1756801010036,11.1372855574088,11.1620629175394
"ENSMUSG00000000085",11.2122868344315,11.2247002291041,11.1175096692486,11.1650282045984,11.1738345372629,11.243547589839
"ENSMUSG00000000088",12.0548142714474,12.0457269254156,11.9944425805505,11.8300077497426,12.0176819346401,11.9875225897385
"ENSMUSG00000000093",9.12188984897304,9.19722841987868,9.21718099670963,9.27072405850804,9.20238720432769,9.24866315112903
"ENSMUSG00000000094",8.91114272573935,8.9525665135103,8.88580929928744,8.92577820069748,8.85104647162033,8.88610659159269
"ENSMUSG00000000120",9.57750261642365,9.48890592777412,9.50655735716369,9.75568412021116,9.68891355142075,9.74907299942145
"ENSMUSG00000000125",10.2955378781548,10.2916150281693,10.3160073108584,10.4899946204877,10.3121666025432,10.4754714748049
"ENSMUSG00000000126",9.24621452627215,9.15231887008034,9.20726719133745,9.11450039365888,9.17226422403103,9.28316031228053
"ENSMUSG00000000127",11.2217055254053,11.2033268537465,11.2395375537548,11.0100445758124,10.9692154364386,10.9038412722269
"ENSMUSG00000000131",12.0189571821987,12.0683122713955,12.0508815357615,12.2303724926625,12.0500245345908,12.1268904748688
"ENSMUSG00000000134",11.0889974699278,11.0150466236683,11.0876537132032,11.1194860591984,11.0997163918047,11.1768370047847
"ENSMUSG00000000142",10.5780218635593,10.4975752491336,10.5639095757029,10.6434847727158,10.5177342060645,10.5932149033528
"ENSMUSG00000000148",10.4312785155709,10.5194358488315,10.458447128848,10.5685883176041,10.5050701756187,10.5269208170234
"ENSMUSG00000000149",11.7493480620635,11.826915450992,11.7227585170998,11.4951981249117,11.6702831283968,11.5272641797811
"ENSMUSG00000000154",9.01876944642243,8.99286633545978,9.02118561896469,9.10178593758223,9.05947742366274,9.15257434087507
"ENSMUSG00000000157",8.93464876228341,8.9039100789747,8.89974687065147,8.92577820069748,8.99869224579403,9.04085410068433
"ENSMUSG00000000159",8.91114272573935,8.9413777344022,9.0665022146484,8.96890128480768,8.99869224579403,9.0342300974681
"ENSMUSG00000000167",9.30235372780496,9.1809084456365,9.25948986860925,9.25719249029262,9.24427324105433,9.31908607843075
"ENSMUSG00000000168",12.4542616183253,12.36614074996,12.3927636214025,12.377153370911,12.4080671210588,12.5070637474121
"ENSMUSG00000000171",12.0333394974749,12.1545355170417,12.2128458539497,11.8678983864133,12.0169930226969,12.0364333876435
"ENSMUSG00000000182",9.01060692884588,9.09535195555438,9.08707913669094,9.1268159428869,9.1169369518695,9.17622770759869
"ENSMUSG00000000184",10.0788764322863,10.0894686030327,10.1520636895121,9.69049946523696,10.023631737561,9.92259364346366
"ENSMUSG00000000194",11.6224882156873,11.5504440512853,11.5361866756965,11.5242905207425,11.5890303712959,11.5639665194822
