"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSMUSG00000033880",959.429190177157,1.76620057105796,0.163346435665949,10.8126055145147,3.00025334578388e-27,4.50938077871318e-23,"Upregulated"
"ENSMUSG00000079017",92.0081789712061,2.78718403011746,0.341370442486821,8.16469056258455,3.22260224537035e-16,2.42178558739582e-12,"Upregulated"
"ENSMUSG00000115529",156.707227707545,-1.68087819487258,0.215599620939319,-7.79629475946841,6.37513761589292e-15,3.19394394556235e-11,"Downregulated"
"ENSMUSG00000064215",867.426100966568,1.04466281235621,0.141555894108727,7.37986093008475,1.58454957754266e-13,3.96929669174435e-10,"Upregulated"
"ENSMUSG00000046718",215.48741696522,1.62808374068747,0.221230202476364,7.35922908564627,1.8497535146713e-13,3.97168504650138e-10,"Upregulated"
"ENSMUSG00000033355",107.580769872869,1.77110802235033,0.246715426807739,7.1787485900933,7.03523785515357e-13,1.32174531203698e-09,"Upregulated"
"ENSMUSG00000022899",1421.18081949304,-1.09346810238543,0.159074508073283,-6.873936720783,6.24539205646247e-12,9.38682426086309e-09,"Downregulated"
"ENSMUSG00000025498",152.919216025413,1.41330546433088,0.238458241469646,5.92684679556687,3.08806829948814e-09,3.57028204163898e-06,"Upregulated"
"ENSMUSG00000026822",82.5688316218759,1.94860770327614,0.335100845940306,5.81498891119857,6.06379055878436e-09,6.07591813990193e-06,"Upregulated"
"ENSMUSG00000074634",311.325074462991,1.02959577191691,0.185247079626958,5.55795953161723,2.72946645688826e-08,2.41316946159003e-05,"Upregulated"
"ENSMUSG00000034459",238.52427404486,1.18289522550722,0.214229605140968,5.52162351570803,3.35881573803313e-08,2.67810486600822e-05,"Upregulated"
"ENSMUSG00000026043",341.122884151059,-1.05644974212304,0.201658219601442,-5.23881319695775,1.61612520604587e-07,0.000105610268899432,"Downregulated"
"ENSMUSG00000032487",67.3690004665629,1.57146560850654,0.306386099235504,5.12903689961022,2.91228260111597e-07,0.000162117064795456,"Upregulated"
"ENSMUSG00000104674",109.348607922994,1.30455431592757,0.256556151998395,5.08486857853923,3.67880709000231e-07,0.000184308235209116,"Upregulated"
"ENSMUSG00000000263",74.565415065572,1.62769671963142,0.360924152708449,4.50980270346788,6.48879450269709e-06,0.00184012417689693,"Upregulated"
"ENSMUSG00000052688",58.0997535462965,-1.3549801056772,0.30661634389798,-4.41913855097054,9.90951055067032e-06,0.00275814710326991,"Downregulated"
"ENSMUSG00000023064",185.342987584709,1.59414264387147,0.407475295026376,3.91224367054762,9.14425760303758e-05,0.0135152816555003,"Upregulated"
"ENSMUSG00000027270",278.442495178175,2.35541758964696,0.610953079395532,3.8553166668337,0.000115579920477946,0.0155676208056251,"Upregulated"
"ENSMUSG00000051985",96.0291789565789,1.05123983651835,0.275809230253227,3.81147445846242,0.000138140331285284,0.0173020764934818,"Upregulated"
"ENSMUSG00000123750",76.3868991859392,-1.28131759125582,0.34058320185185,-3.76212797427744,0.000168473799556479,0.0193294748651441,"Downregulated"
"ENSMUSG00000110125",123.600864372544,1.0427883104954,0.277633534470078,3.75598831202356,0.000172658751500315,0.0196595532958314,"Upregulated"
"ENSMUSG00000030107",73.8424020162638,1.08760720317575,0.290267458456099,3.74691399773371,0.000179023429956924,0.0202309936259591,"Upregulated"
"ENSMUSG00000017868",55.0360301857404,-1.12481224624404,0.306353569878042,-3.67161462062223,0.000241022938425389,0.0255110898910817,"Downregulated"
"ENSMUSG00000018339",61.1154020895896,1.10017926275267,0.308890266148027,3.56171554536924,0.000368439448345947,0.0359587331729843,"Upregulated"
"ENSMUSG00000120913",70.5506405518569,-1.11569777641045,0.314341290710313,-3.54931982969633,0.000386227666685383,0.0369745339508363,"Downregulated"
"ENSMUSG00000040856",292.826699803712,1.67195168438493,0.482574047168105,3.46465313291601,0.000530915777746771,0.0477824199972094,"Upregulated"
