Geneid	SRR5364318
ENSMUSG00000077318	1
ENSMUSG00000101827	2
ENSMUSG00000103494	0
ENSMUSG00000101880	0
ENSMUSG00000101433	0
ENSMUSG00000056708	727
ENSMUSG00000103825	0
ENSMUSG00000099845	0
ENSMUSG00000103561	0
ENSMUSG00000101610	0
ENSMUSG00000104181	5
ENSMUSG00000118923	0
ENSMUSG00000098555	0
ENSMUSG00000097628	0
ENSMUSG00000098163	0
ENSMUSG00000103670	2
ENSMUSG00002076398	0
ENSMUSG00000101724	0
ENSMUSG00000100313	0
ENSMUSG00000100696	0
ENSMUSG00002075355	0
ENSMUSG00000072324	0
ENSMUSG00000102194	4
ENSMUSG00000103636	10
ENSMUSG00000103180	0
ENSMUSG00000101628	0
ENSMUSG00000078291	0
ENSMUSG00000102299	4
ENSMUSG00000102558	0
ENSMUSG00000033671	3815
ENSMUSG00000103717	2
ENSMUSG00000103771	0
ENSMUSG00000104518	0
ENSMUSG00000069620	0
ENSMUSG00000104219	0
ENSMUSG00002076780	0
ENSMUSG00000104388	3
ENSMUSG00000077736	0
ENSMUSG00000103123	0
ENSMUSG00000103772	1
ENSMUSG00000104210	0
ENSMUSG00000102750	0
ENSMUSG00000101934	0
ENSMUSG00000098851	0
ENSMUSG00000098273	0
ENSMUSG00000097408	17
ENSMUSG00000096939	0
ENSMUSG00000100767	0
ENSMUSG00000104396	11
ENSMUSG00000102481	2
ENSMUSG00000093254	0
ENSMUSG00000101437	0
ENSMUSG00000103506	1
ENSMUSG00000103495	1
ENSMUSG00002076346	0
ENSMUSG00000102639	0
ENSMUSG00000098923	406
ENSMUSG00000104170	0
ENSMUSG00000087782	0
ENSMUSG00000101731	0
ENSMUSG00000103085	7
ENSMUSG00000084505	0
ENSMUSG00000102664	4
ENSMUSG00000101171	0
ENSMUSG00000102982	2
ENSMUSG00000077368	0
ENSMUSG00000097711	0
ENSMUSG00000102166	0
ENSMUSG00002075174	0
ENSMUSG00000104209	0
ENSMUSG00000103505	2
ENSMUSG00000104503	9
ENSMUSG00000099693	0
ENSMUSG00000099569	1
ENSMUSG00000102687	0
